team1,team2,team3,score
frc1262,frc9709,frc2186,41
frc6802,frc3361,frc977,28
frc3136,frc2106,frc2890,105
frc977,frc4472,frc6802,51
frc1522,frc4286,frc3361,25
frc2186,frc1610,frc1599,39
frc6882,frc2988,frc5338,33
frc3939,frc404,frc6194,60
frc9709,frc2106,frc2998,51
frc4821,frc2068,frc3136,52
frc4472,frc5804,frc977,40
frc540,frc6802,frc2890,40
frc617,frc1086,frc346,59
frc5724,frc1262,frc5954,50
frc404,frc2106,frc3361,59
frc6194,frc2998,frc3136,44
frc4286,frc4821,frc4472,21
frc977,frc2186,frc3939,37
frc2068,frc1086,frc5954,45
frc1610,frc346,frc540,63
frc5338,frc5804,frc1262,54
frc5724,frc9709,frc2988,44
frc4821,frc1522,frc404,31
frc2890,frc5954,frc1610,37
frc1599,frc617,frc6802,67
frc6882,frc2890,frc1522,44
frc3361,frc346,frc6194,63
frc3939,frc2998,frc4286,36
frc540,frc977,frc2106,53
frc1086,frc9709,frc404,34
frc2890,frc1599,frc2068,51
frc5804,frc6802,frc1610,70
frc5954,frc4821,frc2988,31
frc2186,frc3136,frc5724,68
frc4472,frc6882,frc1262,45
frc617,frc5338,frc1522,46
frc4286,frc977,frc6194,35
frc1610,frc3939,frc2106,54
frc346,frc5724,frc1599,95
frc404,frc2988,frc540,22
frc617,frc2068,frc2998,25
frc5804,frc2890,frc3136,92
frc3361,frc5954,frc6882,42
frc6802,frc1262,frc4821,48
frc2106,frc4472,frc617,40
frc6882,frc5804,frc4286,51
frc1086,frc2186,frc1522,36
frc5338,frc4472,frc9709,66
frc977,frc5724,frc1086,31
frc3939,frc6802,frc2068,50
frc1610,frc2988,frc1522,41
frc4821,frc5338,frc540,35
frc6194,frc2890,frc2186,37
frc1262,frc346,frc2998,60
frc9003,frc1908,frc2988,30
frc6882,frc1610,frc2912,17
frc2988,frc2890,frc122,41
frc404,frc2028,frc9235,20
frc2363,frc9003,frc611,41
frc1610,frc2912,frc6189,19
frc1908,frc422,frc6882,54
frc1793,frc2068,frc346,50
frc1915,frc3359,frc2890,40
frc9235,frc2912,frc2988,16
frc619,frc9003,frc122,46
frc5549,frc2068,frc1908,37
frc2028,frc2363,frc1610,36
frc1793,frc404,frc6189,13
frc623,frc9003,frc6882,8
frc5549,frc611,frc9235,39
frc619,frc3359,frc2028,22
frc122,frc1610,frc2890,32
frc2912,frc404,frc623,10
frc2363,frc1915,frc346,62
frc2068,frc6189,frc422,68
frc2988,frc611,frc1793,24
frc2028,frc122,frc623,30
frc2363,frc422,frc9235,65
frc2912,frc3359,frc2363,51
frc2028,frc1908,frc5549,33
frc6882,frc623,frc2068,11
frc346,frc122,frc6189,79
frc1915,frc611,frc2988,33
frc1908,frc619,frc1793,50
frc422,frc2890,frc404,44
frc1610,frc9003,frc9235,36
frc2068,frc2028,frc2988,23
frc1793,frc623,frc5549,39
frc6882,frc122,frc611,18
frc2890,frc619,frc2912,32
frc9003,frc346,frc3359,59
frc2363,frc9235,frc6189,56
frc2912,frc1610,frc422,50
frc1908,frc404,frc1915,29
frc9003,frc1793,frc2028,51
frc2890,frc6882,frc5549,41
frc404,frc2363,frc1610,45
frc122,frc9235,frc1908,24
frc1793,frc6189,frc3359,16
frc619,frc5549,frc404,34
frc3359,frc623,frc2068,10
frc422,frc1915,frc619,54
frc611,frc6189,frc2028,24
frc346,frc2988,frc1908,34
frc623,frc619,frc2912,11
frc2890,frc1793,frc1610,54
frc6189,frc6882,frc1915,26
frc2068,frc2363,frc122,58
frc3359,frc2988,frc404,10
frc422,frc346,frc9003,80
frc9235,frc6882,frc2028,20
frc1610,frc5549,frc611,45
frc404,frc422,frc9003,54
frc1915,frc1793,frc122,35
frc623,frc2912,frc346,72
frc3359,frc9235,frc619,45
frc6189,frc2890,frc1908,45
frc2988,frc5549,frc2363,46
frc2068,frc2912,frc9003,24
frc611,frc2028,frc422,51
frc1915,frc2068,frc2890,37
frc1610,frc611,frc346,53
frc6882,frc404,frc1793,16
frc623,frc1908,frc2363,35
frc2890,frc9235,frc2068,39
frc6189,frc2988,frc619,34
frc611,frc1610,frc1915,9
frc122,frc5549,frc3359,42
frc1908,frc1793,frc2912,43
frc346,frc2028,frc2890,69
frc9235,frc623,frc1915,14
frc5549,frc6189,frc9003,50
frc619,frc2068,frc611,53
frc122,frc346,frc404,68
frc3359,frc422,frc1610,51
frc2988,frc2363,frc6882,24
frc422,frc2988,frc623,48
frc404,frc3359,frc6882,1
frc9003,frc1915,frc2068,30
frc2028,frc619,frc2363,39
frc2912,frc122,frc5549,27
frc9235,frc346,frc1793,35
frc6189,frc2890,frc623,21
frc611,frc1908,frc3359,12
frc5549,frc1915,frc422,65
frc346,frc6882,frc619,41
